Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Cercis canadensis,Cercis canadensis,,1,Accepted,Cercis canadensis,,Fabaceae,tpl, ,
Chenopodium album,Chenopodium album,,1,Accepted,Chenopodium album,L.,Amaranthaceae,tpl;usda;tropicos, ,
Chrysanthemum leucanthemum pinnatifidum,Chrysanthemum leucanthemum var. pinnatifidum,,0.96,Synonym,Leucanthemum vulgare,(Vaill.) Lam.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:0547E050-E16B-4B8A-AB14-EA90D1AD85EF
Circaea lutetiana canadensis,Circaea lutetiana subsp. canadensis,,0.96,Accepted,Circaea lutetiana subsp. canadensis,(L.) Asch. & Magnus,Onagraceae,tpl, ,
Cirsium arvense,Cirsium arvense,,1,Accepted,Cirsium arvense,,Asteraceae,tpl, ,
Cirsium vulgare,Cirsium vulgare,,1,Accepted,Cirsium vulgare,(Savi) Ten.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:5501F500-AAE6-4DE1-B349-46F2509573C1
Cladrastis lutea,Cladrastis lutea,,1,No opinion,,,,tpl, ,
Convolvulus arvensis,Convolvulus arvensis,,1,Accepted,Convolvulus arvensis,L.,Convolvulaceae,tpl;usda;tropicos, ,
Convolvulus sepium,Convolvulus sepium,,1,Synonym,Calystegia sepium,(L.) R. Br.,Convolvulaceae,tpl, ,
Convolvulus species,Convolvulus,,0.9,Accepted,Convolvulus,,Convolvulaceae,tpl;usda, ,
Cornus racemosa,Cornus racemosa,,1,Accepted,Cornus racemosa,Lam.,Cornaceae,tpl;usda;tropicos, ,
Coronilla varia,Coronilla varia,,1,Synonym,Securigera varia,(L.)Lassen,Fabaceae,ildis, ,
Crataegus species,Crataegus,,0.9,Accepted,Crataegus,,Rosaceae,tpl;usda, ,
Dactylis glomerata,Dactylis glomerata,,1,Accepted,Dactylis glomerata,L.,Poaceae,tpl;usda;tropicos, ,
Danthonia spicata,Danthonia spicata,,1,Accepted,Danthonia spicata,(L.) Roem. & Schult.,Poaceae,tpl, ,
Daucus carota,Daucus carota,,1,Accepted,Daucus carota,L.,Apiaceae,tpl;usda;tropicos, ,
Desmodium species,Desmodium,,0.9,Accepted,Desmodium,,Fabaceae,tpl;usda, ,
Dioscorea villosa,Dioscorea villosa,,1,Accepted,Dioscorea villosa,L.,Dioscoreaceae,tpl;usda;tropicos, ,
Dipsacus sylvestris,Dipsacus sylvestris,,1,Synonym,Dipsacus fullonum,L.,Caprifoliaceae,tpl;usda;tropicos, ,
Dodecatheon meadia,Dodecatheon meadia,,1,Accepted,Dodecatheon meadia,L.,Primulaceae,tpl;usda;tropicos, ,
Duchesnea indica,Duchesnea indica,,1,Accepted,Duchesnea indica,(Jacks.) Focke,Rosaceae,tpl, ,
Elymus villosus,Elymus villosus,,1,Accepted,Elymus villosus,Muhl. ex Willd.,Poaceae,tpl;usda;tropicos, ,
Epilobium coloratum,Epilobium coloratum,,1,Accepted,Epilobium coloratum,Biehler,Onagraceae,tpl;usda;tropicos, ,
Erechtites hieracifolia,Erechtites hieracifolia,,1,Synonym,Erechtites hieraciifolius,(L.) Raf. ex DC.,Asteraceae,usda, ,
Erigeron annuus,Erigeron annuus,,1,Accepted,Erigeron annuus,(L.) Desf.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:E79F4735-6B70-4FA4-B590-060AB192A895
Erigeron canadensis,Erigeron canadensis,,1,No opinion,,,,tpl, ,
Erigeron strigosus,Erigeron strigosus,,1,Accepted,Erigeron strigosus,Muhl. ex Willd.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:544F044B-AF35-4134-8A19-7FB7C8953270
Euonymus alatus,Euonymus alatus,,1,Accepted,Euonymus alatus,(Thunb.) Siebold,Celastraceae,tpl;usda;tropicos, ,
Euonymus atropurpureus,Euonymus atropurpureus,,1,Accepted,Euonymus atropurpureus,Jacq.,Celastraceae,tpl;usda;tropicos, ,
Euonymus species,Euonymus,,0.9,Accepted,Euonymus,,Celastraceae,tpl, ,
Eupatorium rugosum,Eupatorium rugosum,,1,Synonym,Ageratina altissima,(L.) R.M.King & H.Rob.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:7012A206-803B-402D-A008-440403B9B5ED
Festuca elatior,Festuca elatior,,1,Synonym,Festuca arundinacea,Schreb.,Poaceae,tpl, [Ambiguous match] ,
Festuca species,Festuca,,0.9,Accepted,Festuca,,Poaceae,tpl;usda, ,
Forb species,No suitable matches found.,,0,,,,,, ,
Fragaria vesca americana,Fragaria vesca subsp. americana,,0.96,Accepted,Fragaria vesca subsp. americana,(Porter) Staudt,Rosaceae,tpl;tropicos, ,
Fragaria virginiana,Fragaria virginiana,,1,Accepted,Fragaria virginiana,Mill.,Rosaceae,tpl;tropicos, ,
Fraxinus - Collections,No suitable matches found.,,0,,,,,, ,
Fraxinus americana,Fraxinus americana,,1,Accepted,Fraxinus americana,L.,Oleaceae,tpl;usda;tropicos, ,
Fraxinus pennsylvanica subintegerrima,Fraxinus pennsylvanica subsp. subintegerrima,,0.96,Synonym,Fraxinus pennsylvanica,Marshall,Oleaceae,tpl, ,
Fraxinus quadrangulata,Fraxinus quadrangulata,,1,Accepted,Fraxinus quadrangulata,Michx.,Oleaceae,tpl;usda;tropicos, ,
Fraxinus seedling,Fraxinus,,0.5,Accepted,Fraxinus,,Oleaceae,tpl;usda, [Partial match] ,
Fraxinus species,Fraxinus,,0.9,Accepted,Fraxinus,,Oleaceae,tpl;usda, ,
Galium aparine,Galium aparine,,1,Accepted,Galium aparine,L.,Rubiaceae,tpl;usda;tropicos, ,
Galium asprellum,Galium asprellum,,1,Accepted,Galium asprellum,Michx.,Rubiaceae,tpl;usda;tropicos, ,
Galium obtusum,Galium obtusum,,1,Accepted,Galium obtusum,Bigelow,Rubiaceae,tpl;usda;tropicos, ,
Galium species,Galium,,0.9,Accepted,Galium,,Rubiaceae,tpl, ,
Galium triflorum,Galium triflorum,,1,Accepted,Galium triflorum,Michx.,Rubiaceae,tpl;usda;tropicos, ,
Geranium maculatum,Geranium maculatum,,1,Accepted,Geranium maculatum,L.,Geraniaceae,tpl;usda;tropicos, ,
Geum canadense,Geum canadense,,1,Accepted,Geum canadense,Jacq.,Rosaceae,tpl;usda;tropicos, ,
Glechoma hederacea,Glechoma hederacea,,1,Accepted,Glechoma hederacea,L.,Lamiaceae,tpl;usda;tropicos, ,
Gleditsia triacanthos,Gleditsia triacanthos,,1,No opinion,,,,tpl, ,
Glyceria striata,Glyceria striata,,1,Accepted,Glyceria striata,(Lam.) Hitchc.,Poaceae,tpl;usda;tropicos, ,
Grass species,Grias,,0.42,Accepted,Grias,,Lecythidaceae,tpl, ,
Gymnocladus dioica,Gymnocladus dioica,,1,Accepted,Gymnocladus dioica,(L.)K.Koch,Fabaceae,ildis, ,
Hackelia virginiana,Hackelia virginiana,,1,Accepted,Hackelia virginiana,(L.) I.M. Johnst.,Boraginaceae,tpl;usda;tropicos, ,
